parent_station,service_hour,from_line,from_direction,to_line,to_direction,comparable_connections,mean_extra_transfer_wait_seconds,missed_scheduled_connection_rate
place-dwnxg,13,Red,0,Orange,1,503,106.83697813121272,0.5427435387673957
place-dwnxg,13,Red,1,Orange,0,777,99.93436293436294,0.4015444015444015
place-dwnxg,13,Red,1,Orange,1,777,98.55212355212355,0.4066924066924067
place-dwnxg,14,Orange,0,Red,0,541,74.84103512014788,0.23844731977818848
place-dwnxg,14,Orange,0,Red,1,823,58.13122721749696,0.26123936816524906
place-dwnxg,14,Orange,1,Red,0,494,69.23076923076923,0.2692307692307692
place-dwnxg,14,Orange,1,Red,1,738,49.72628726287263,0.26287262872628725
place-dwnxg,14,Red,0,Orange,0,502,63.57569721115538,0.450199203187251
place-dwnxg,14,Red,0,Orange,1,502,80.31075697211155,0.50199203187251
place-dwnxg,14,Red,1,Orange,0,800,64.7475,0.33875
place-dwnxg,14,Red,1,Orange,1,800,89.85875,0.3225
place-dwnxg,15,Orange,0,Red,0,625,80.3888,0.2608
place-dwnxg,15,Orange,0,Red,1,924,54.18939393939394,0.29220779220779214
place-dwnxg,15,Orange,1,Red,0,575,73.0591304347826,0.3130434782608696
place-dwnxg,15,Orange,1,Red,1,874,75.81121281464532,0.34782608695652173
place-dwnxg,15,Red,0,Orange,0,503,57.37574552683897,0.4393638170974155
place-dwnxg,15,Red,0,Orange,1,503,80.26838966202783,0.5049701789264414
place-dwnxg,15,Red,1,Orange,0,809,73.4326328800989,0.36711990111248455
place-dwnxg,15,Red,1,Orange,1,809,61.949320148331275,0.32262051915945605
place-dwnxg,16,Orange,0,Red,0,578,63.48615916955017,0.3494809688581315
place-dwnxg,16,Orange,0,Red,1,875,70.14285714285714,0.3497142857142857
place-dwnxg,16,Orange,1,Red,0,605,54.40330578512397,0.32231404958677684
place-dwnxg,16,Orange,1,Red,1,903,68.41306755260244,0.31893687707641194
place-dwnxg,16,Red,0,Orange,0,509,76.75442043222004,0.42829076620825146
place-dwnxg,16,Red,0,Orange,1,509,80.23772102161101,0.4754420432220039
place-dwnxg,16,Red,1,Orange,0,804,77.56094527363184,0.3582089552238806
place-dwnxg,16,Red,1,Orange,1,804,82.0410447761194,0.38681592039800994
place-dwnxg,17,Orange,0,Red,0,579,92.34369602763385,0.33506044905008636
place-dwnxg,17,Orange,0,Red,1,873,70.58533791523482,0.3825887743413516
place-dwnxg,17,Orange,1,Red,0,588,68.76530612244898,0.2755102040816326
place-dwnxg,17,Orange,1,Red,1,885,55.266666666666666,0.3231638418079096
place-dwnxg,17,Red,0,Orange,0,492,59.03048780487806,0.4451219512195122
place-dwnxg,17,Red,0,Orange,1,492,93.7540650406504,0.5020325203252033
place-dwnxg,17,Red,1,Orange,0,820,64.94634146341464,0.31585365853658537
place-dwnxg,17,Red,1,Orange,1,820,85.68658536585366,0.375609756097561
place-dwnxg,18,Orange,0,Red,0,592,51.814189189189186,0.27533783783783783
place-dwnxg,18,Orange,0,Red,1,895,56.07709497206704,0.30837988826815643
place-dwnxg,18,Orange,1,Red,0,590,69.68983050847457,0.2576271186440678
place-dwnxg,18,Orange,1,Red,1,885,76.91073446327684,0.3333333333333333
place-dwnxg,18,Red,0,Orange,0,536,50.31902985074627,0.43843283582089554
place-dwnxg,18,Red,0,Orange,1,536,55.473880597014926,0.4832089552238806
place-dwnxg,18,Red,1,Orange,0,801,62.28089887640449,0.3857677902621723
place-dwnxg,18,Red,1,Orange,1,801,62.21847690387016,0.383270911360799
place-dwnxg,19,Orange,0,Red,0,565,68.22654867256637,0.3274336283185841
place-dwnxg,19,Orange,0,Red,1,848,60.87382075471698,0.3596698113207547
place-dwnxg,19,Orange,1,Red,0,587,70.49574105621805,0.2674616695059625
place-dwnxg,19,Orange,1,Red,1,876,60.705479452054796,0.3367579908675799
place-dwnxg,19,Red,0,Orange,0,506,67.4505928853755,0.43873517786561267
place-dwnxg,19,Red,0,Orange,1,506,62.17391304347826,0.44664031620553357
place-dwnxg,19,Red,1,Orange,0,811,72.6189889025894,0.39457459926017263
place-dwnxg,19,Red,1,Orange,1,811,72.35881627620222,0.3649815043156597
place-dwnxg,20,Orange,0,Red,0,497,64.09255533199195,0.3581488933601609
place-dwnxg,20,Orange,0,Red,1,745,63.848322147651004,0.43355704697986575
place-dwnxg,20,Orange,1,Red,0,498,63.04016064257028,0.3273092369477912
place-dwnxg,20,Orange,1,Red,1,753,71.97078353253652,0.4103585657370518
place-dwnxg,20,Red,0,Orange,0,530,65.14716981132075,0.41132075471698115
place-dwnxg,20,Red,0,Orange,1,530,71.47735849056603,0.47358490566037736
place-dwnxg,20,Red,1,Orange,0,773,61.793014230271666,0.2833117723156533
