line,to_station,service_hour,comparable_observations,mean_excess_travel_seconds
Green,place-brkhl,11,1068,0.5777153558052435
Green,place-brkhl,12,1040,0.5567307692307693
Green,place-brkhl,13,1035,1.6840579710144927
Green,place-brkhl,14,1059,0.7620396600566571
Green,place-brkhl,15,1042,0.761996161228407
Green,place-brkhl,16,1092,0.7344322344322345
Green,place-brkhl,17,1012,0.708498023715415
Green,place-brkhl,18,1067,0.4423617619493908
Green,place-brkhl,19,1104,1.4021739130434783
Green,place-brkhl,20,1079,1.7516218721037997
Green,place-brkhl,21,1077,1.3491179201485608
Green,place-brkhl,22,1056,2.490530303030303
Green,place-brkhl,23,1037,13.828351012536162
Green,place-brmnl,0,1008,18.456349206349206
Green,place-brmnl,1,222,12.013513513513514
Green,place-brmnl,2,33,1.7575757575757576
Green,place-brmnl,3,1,0.0
Green,place-brmnl,4,2,0.0
Green,place-brmnl,5,344,1.4912790697674418
Green,place-brmnl,6,863,2.9084588644264193
Green,place-brmnl,7,1015,2.775369458128079
Green,place-brmnl,8,1036,16.43243243243243
Green,place-brmnl,9,1043,5.857142857142857
Green,place-brmnl,10,993,10.890231621349447
Green,place-brmnl,11,1019,7.533856722276742
Green,place-brmnl,12,994,4.673038229376258
Green,place-brmnl,13,1024,5.1123046875
Green,place-brmnl,14,1019,5.8469087340529935
Green,place-brmnl,15,1042,4.949136276391554
Green,place-brmnl,16,1003,9.111665004985046
Green,place-brmnl,17,1013,6.8005923000987165
Green,place-brmnl,18,1056,3.8920454545454546
Green,place-brmnl,19,1070,4.767289719626168
Green,place-brmnl,20,1046,1.1108986615678775
Green,place-brmnl,21,1009,2.32408325074331
Green,place-brmnl,22,1079,1.6274328081556997
Green,place-brmnl,23,1017,7.142576204523107
Green,place-bucen,0,739,0.014884979702300401
Green,place-bucen,1,233,9.648068669527897
Green,place-bucen,2,29,0.10344827586206896
Green,place-bucen,3,1,0.0
Green,place-bucen,5,373,0.04021447721179623
Green,place-bucen,6,905,0.6983425414364641
Green,place-bucen,7,935,0.6663101604278074
Green,place-bucen,8,1010,1.2316831683168317
Green,place-bucen,9,1017,1.345132743362832
