line,from_station,to_station,direction_id,observations
Green,place-lake,place-wrnst,1,2
Green,place-north,place-alsgr,0,2
Green,place-kencl,place-amory,0,2
Green,place-esomr,place-chill,0,2
Green,place-unsqu,place-haecl,0,2
Green,place-hymnl,place-spmnl,1,2
Green,place-bland,place-chhil,1,2
Green,place-grigg,place-lake,0,2
Green,place-fenwd,place-mfa,1,2
Mattapan,place-valrd,place-asmnl,1,2
Red,place-nqncy,place-qamnl,0,2
Green,place-chill,place-nuniv,0,2
Green,place-sougr,place-hymnl,1,2
Green,place-sthld,place-harvd,1,2
Green,place-brico,place-amory,1,2
Green,place-north,place-boyls,0,2
Green,place-haecl,place-wrnst,0,2
Green,place-coecl,place-lake,0,2
Green,place-lech,place-boyls,0,2
Green,place-mdftf,place-mispk,0,2
Green,place-lngmd,place-coecl,1,2
Green,place-prmnl,place-haecl,1,2
Green,place-unsqu,place-pktrm,0,2
Green,place-gover,place-sougr,0,2
Green,place-bckhl,place-fenwd,1,2
Green,place-sthld,place-sougr,0,2
Green,place-kencl,place-brico,0,2
Green,place-harvd,place-amory,1,2
Green,place-bndhl,place-tapst,0,2
Green,place-newtn,place-woodl,0,2
Green,place-hsmnl,place-mgngl,0,2
Green,place-gover,place-esomr,1,2
Green,place-north,place-hymnl,0,2
Green,place-spmnl,place-armnl,0,2
Green,place-haecl,place-kencl,0,2
Green,place-hymnl,place-lech,1,2
Green,place-gover,place-river,1,2
Green,place-spmnl,place-woodl,0,2
Green,place-kencl,place-hwsst,0,2
Green,place-chswk,place-wrnst,1,2
Red,place-alfcl,place-portr,0,2
Green,place-denrd,place-smary,0,2
Green,place-unsqu,place-eliot,0,2
Green,place-woodl,place-brkhl,1,2
Green,place-river,place-lech,1,2
Green,place-coecl,place-rvrwy,0,2
Orange,place-ccmnl,place-astao,1,2
Red,place-pktrm,place-brdwy,0,2
Green,place-engav,place-kencl,1,2
Green,place-gover,place-spmnl,1,2
Green,place-sumav,place-engav,0,2
Red,place-fldcr,place-asmnl,0,2
Orange,place-chncl,place-state,1,2
Orange,place-welln,place-sull,0,2
Orange,place-ccmnl,place-haecl,0,2
Orange,place-astao,place-ccmnl,0,2
Green,place-coecl,place-bvmnl,0,2
Green,place-fbkst,place-tapst,0,2
Green,place-armnl,place-mfa,0,2
Green,place-woodl,place-bcnfd,1,2
Green,place-armnl,place-nuniv,0,2
Green,place-coecl,place-gover,1,2
Green,place-lake,place-brico,1,2
Red,place-dwnxg,place-harsq,1,2
Green,place-hsmnl,place-north,0,2
